,tweets,labels
0,amaqagency remains iraqi recon plane shot yesterday https co onaqdhsdvy,
1,apollo next ramiallolah true rebels put position hinging fate us dictats got betrayed,
2,washington gave ypg terror group green light cleanse assad militia qamishli declare federal state north syria,
3,ismailmahsud stuff n english medium,
4,anybody news atajevwitness,
5,wilayatninawa yes know akhi group wanted know test something sory inconvenience,
6,rt ramiallolah never true isis palmyra syria https co ccvripesgx,
7,islamic state wilaya najd liquidation chief intelligence alquweiya majid aloutaibi https co https co,
8,street ramadi https co,
9,rt abduhark children crying dead mother russian airstrikes aleppo city today https co,
10,rt cruelty towards animals https co,
11,rt northernstork russia achievements syria massacre idlib amp propaganda concert palmyra https co,
12,istishhadi may allah accept https co,
13,rt abumusab checkpoints west company captured east make dua https co,
14,persia history,
15,rt radicalised hearing story sister fatima abughraib prison wewillneverforget neverforgive https,
16,ibnu wilayathalab abu adamm dont block want u fool,
17,assad ndf threatens execute pyd militants ypg end siege kherbet amo village qamishli syria https co,
18,rt alhamdhulillaah know allah knows secrets private conversations allah knower u,
19,us backed ahrar sham apostate allied nusra burns banner tawheed https co,
20,zarqawi zarqawi zarqawi,
21,rt abdughenisabit uyghur come labour work unpaid work must pay day chinese government ht,
22,rt alamriki omar salnasihablvr know truth twist wish destroy islam efforts fail islam refuses al,
23,rt moses know allah ta ala would split sea obey punch sea stick islamicstate j,
24,fidaee fulaani like post image longer words https co,
25,arisroussinos officially claimed,
26,notice amaqagency overjoyed announce loss got exposed today ridda changes lot ground,
27,assad army sustained heavy loses soldiers officers killed captured big attempt ever take palmyra isis syria,
28,implementing sharia city al qayyarah destroying cigarettes amp date goods excuses sharia allah https co,
29,rt us fighters jets f amp give fsa air support battle islamicstate northern syria https co oup,
30,rt two days ago us allies slaughtered students university heard condemnations terror,
31,arraqqah targeting kurdish apostates gatherings mortar shells east ainessah https co https co,
32,asking un save aleppo like asking murderer friend stop murderer,
33,years ago would believe saw fsa groups hand checkpoints assads militia,
34,amla needs score break kohli record quickest runs amp position score lesser innings,
35,non justement,
36,al battar engl military convoy west arish city yesterday evening caliphate news,
37,amaqagency commandos detonate explosive belts inside zaydan police headquarters southwest baghdad https co,
38,rt middleeastmnt hundreds gather support israeli soldier accused executing injured palestinian https co bvzskzllps,
39,rt remembers sister muslimah want write anyone want sent picture via dm bismillah http,
40,rt menastream tunisia kasserine police officer attacked w ak nouba jebel salloum area https co https,
41,islamic state fighters clash syrian opposition convoy sadd rishah area hammad desert east https co,
42,sinai peacekeeping forces helicopter sheikh zuwaid rafahh today https co lelcczcgql,
43,rt sinai several army recruits killed wounded today ied explosion near karam al qawadis south sheikh zuwaid,
44,rt maghrebiqm scalp eg looks like via biladfransa https co,
45,hacker hacked hacking team mercenaries helped governments hack people published diy guide https co,
46,sdf convoy talabyad heading qamishlo join fight regime https co,
47,lt mais bis https co,
48,rt ibn haneefah isis enemies treated israeli hospitals https co,
49,iomgbfvdvdcsc jazakallahukhair,
50,rt aejkhalil syria babies born die russia airstrikes idlib dec https co,
51,today civilized countries based operate effectively machiavellianism saying ends justify means,
52,rt shamirebel breaking fsa factions joined single central operations command intent fully clear deraa isis https,
53,twitter safety support account tos violation alamrikiya suspend please thx,
54,confirmed alawite iranian military entered tadmur thinks withdraw tweets lol https co,
55,kronykal still quran amp sunna referring still prophet pbuh time,
56,rt free lance jour horrible video palmyramassacre ruaf https co,
57,wonder many islamic scholars would come support isis afraid imprisonment https co,
58,rt alamriki omar saddam crimes iraq nothing compared millions killed us bombings invasion freedom us priva,
59,amaqagency breaking martyrdom operation hits iraqi forces convoy outskirts nuwayim area north hit city,
60,rt saeed unconfirmend reports high jund al aqsa members left ranks internal disagreements details,
61,jazrawi arish sure north africa since hate brown people went norway somewhere,
62,rt exclusive victory revelations pt british french crusade soon https co https co n,
63,rt lord allow go astray guided,
64,rt apb blessed land caliphate rainy days mosul islamicstate https co cplrspqxxq,
65,rt mosul munafiqeen wal murtadeen say islam war either sleeping watching favorite footba,
66,new furat media video story abu amina al uzbeki uzbek language https co https co,
67,u military suicides remain high year https co via usatoday,
68,jazrawi bngardn still extremists heart despite attempts sugar coat moderate media savvy language,
69,killing iraq soldiers destruction humvees tariqyah district baghdad north,
70,rt maghrebiwt lebanese soldier hostage joined ranks died fighting regime near mahin eastern homs https co c,
71,islamic state took almost entire control shaer gas field gas company killed regime members last days,
72,unfortunately outdated,
73,maktabalhimmah pdf wajib salah jama ah arabic https co https co,
74,us aircraft supporting rebels northern aleppo countryside https co,
75,child lamb akhijibran become demon eve,
76,lanaat kuffar amiiiiin,
77,rt twdwln karmah dozens elements murtad iraqi government forces killed injured outskirts karmah fallujah,
78,oooharray hadialabdallah wow tough keyboard warrior using foul language taking u nations fight isis u still baqiyah,
79,rt alfresco ja far b muhammad beware arguments religion verily busies heart causes hypocrisy sharh us,
80,ok shukran kathiran,
81,rt several isis attacks oil fields took place area recent months including targeting beda foiled,
82,rt shamirebel warning graphic horrid acts perpetrated likes isis done iraqi army https,
83,rt syria islamicstate shrinked regime hold area west deirezzor city length nearly along euphrates rive,
84,mostly everybody calling clown pro isis said last year late act https co,
85,rt brother musa cerentonio years started may allah swt keep steadfast ameen https co,
86,kronykal muslims would happily systematically stop every attempt creating sharia compliant state,
87,child ahmad salim killed today regime barrel bombs talbiseh town https co,
88,rt crusade isis reportedly recaptures several positions shaddadi outskirts sdf militia hasakah syria https co g,
89,rt homs video destruction caused russian air raids palmyra https co czwilpgkoc,
90,vivarevolt kasimf mousaalomar,
91,dreadmozlum https co https co,
92,question thought provoking normally iddah meant spent seclusion away non related males,
93,rt tracterrorism islamicstate killing infidels nigerian army borno nigeria westafrica iswa https co https,
94,qassami marwan much facepalm identity crisis,
95,would come many locals ready sacrifice lives uncle sams cash,
96,rt nidalgazaui iraqi army trucks destroyed isis today near ayn al assad iraq https co,
97,rt daudoo kdf withdrawn military bases somalia since el adde attack badhadhe amp bulagudud lower jubba el adde amp khadija,
98,brunfree j ai arr de la suivre je pensais que ce serait int ressant r sultat gamine immature davidthomson romaincaillet,
99,rt ramiallolah looted baiji tikrit amp many syria n cities looting saudi consulates iran iraq https c,
100,amaqagency islamic state advance today industrial district dier alzour airbase https co jfjxissrmh https co,
101,pt embarrasing ayman zawahiri days ago urged al qaeda syria jabhat al nusra join ahrar ash sham,
102,rt arabthomness syria rebels repelled major regime attack handarat front north aleppo city,
103,deir ezzor syrian regime forces killed addition injured amp missing past battles,
104,translation tweet https co yfkyrsisag,
105,islamic state forces continue advance aleppo southern countryside capture vast areas aleppo https co,
106,alamrikiomar akhi listen lectures video lectures read books exposes every one,
107,isis showering joint iraq army usa marines base makhmour multiple grad rockets,
108,rt islamicstate expanding southern syria battle nusra amp fsa https co,
109,rt akel saruman flash brave fighters fsa division taken care truckload pkk ypg sdf terrorist scums https,
110,khalidgajanfar respect freedom expressions hail hitler,
111,amaqagency iraqi forces reconnaissance plane shot islamic state fighters yesterday east fallujah city https co,
112,rt daudoo breaking kdf withdraw military base somalia khadija haji village near kenya border base vacated kdf since e,
113,lolll latif ullah mehsud presented media conspiracy place definitely wd said wt isi wanted hear jahel pk,
114,https co blwlatfsay,
115,asgacu previous clashes,
116,rt shaykhahmadgems time days days life amp life like road either take jannah jahannam wal iyaathu bill,
117,rt warrnews syria captured shair gas field regime homs,
118,ameen,
119,people praised lived rafidhi oppression pro shariah happy,
120,rt muhajirah anbar first opinion shia rawafid kuffar leaders awam second opinion shia leaders take hukm kuffar,
121,rt pieternanninga first video wilayat west africa formerly bokoharam since nov refutes media lies continues struggle ht,
122,attacked lightly guarded dawlah centers januarry,
123,rt ramiallolah almost assad amp hezbollah militants gone double major isis operations damascus amp homs today syria https,
124,issuing charges abumohamed aynu bil ayn anyhow make accusations shaykh adnani delete tweet,
125,minister health declares highest state emergency across hospitals saudi capital riyadh due massive sandstorm,
